Feature ID	Wild-type - WT3_S9 (GE) - Expression values	Wild-type - WT3_S9 (GE) - Unique gene reads	Wild-type - WT3_S9 (GE) - Total gene reads
SAOUHSC_02003	4260	4260	4260
SAOUHSC_02831	1918	1918	1918
SAOUHSC_00864	12865	12865	12865
SAOUHSC_00428	7617	7617	7617
SAOUHSC_02992	746	746	746
SAOUHSC_02403	68801	68801	68801
SAOUHSC_00888	9649	9649	9649
SAOUHSC_01708	10206	10206	10206
SAOUHSC_02686	2888	2888	2888
SAOUHSC_01340	4760	4760	4760
SAOUHSC_00698	9262	9262	9262
SAOUHSC_01975	21113	21113	21113
SAOUHSC_02924	461	461	461
SAOUHSC_00370	7539	7539	7539
SAOUHSC_01462	38482	38482	38482
SAOUHSC_00535	99741	99741	99741
SAOUHSC_02757	3514	3514	3514
SAOUHSC_02780	1690	1690	1690
SAOUHSC_01367	417	417	417
SAOUHSC_01941	94	94	94
SAOUHSC_00026	746	285	746
SAOUHSC_00683	1250	1250	1250
SAOUHSC_00687	4029	4029	4029
SAOUHSC_A01081	54	54	54
SAOUHSC_02520	6196	6196	6196
SAOUHSC_01400	2115	2115	2115
SAOUHSC_02374	3495	3495	3495
SAOUHSC_02625	8368	8368	8368
SAOUHSC_02547	7974	7974	7974
SAOUHSC_00304	5075	5075	5075
SAOUHSC_00378	434	434	434
SAOUHSC_00366	28634	28634	28634
SAOUHSC_02846	8320	8320	8320
SAOUHSC_00180	7252	7252	7252
SAOUHSC_02584	4648	4648	4648
SAOUHSC_00367	4938	4938	4938
SAOUHSC_02308	12707	12707	12707
SAOUHSC_02766	1191	1191	1191
SAOUHSC_02828	2355	2355	2355
SAOUHSC_02829	20206	20206	20206
