Feature ID	Single mutant - SM3_S6 (GE) - Expression values	Single mutant - SM3_S6 (GE) - Unique gene reads	Single mutant - SM3_S6 (GE) - Total gene reads
SAOUHSC_01367	446	446	446
SAOUHSC_01941	62	62	62
SAOUHSC_00026	805	339	805
SAOUHSC_00683	1027	1027	1027
SAOUHSC_00687	3846	3846	3846
SAOUHSC_A01081	49	49	49
SAOUHSC_02520	5816	5816	5816
SAOUHSC_01400	1848	1848	1848
SAOUHSC_02374	3230	3230	3230
SAOUHSC_02625	5906	5906	5906
SAOUHSC_02547	7849	7849	7849
SAOUHSC_00304	4426	4426	4426
SAOUHSC_00378	383	383	383
SAOUHSC_00366	30641	30641	30641
SAOUHSC_02846	8948	8948	8948
SAOUHSC_00180	5861	5861	5861
SAOUHSC_02584	3999	3999	3999
SAOUHSC_00367	3910	3910	3910
SAOUHSC_02308	12110	12110	12110
SAOUHSC_02766	908	908	908
SAOUHSC_02828	2024	2024	2024
SAOUHSC_02829	21019	21019	21019
SAOUHSC_02803	2705	2672	2705
SAOUHSC_02626	6517	6517	6517
SAOUHSC_00702	5439	5439	5439
SAOUHSC_01452	79	79	79
SAOUHSC_02640	267	267	267
SAOUHSC_02862	60216	60216	60216
SAOUHSC_00371	43331	43331	43331
SAOUHSC_01018	7162	7162	7162
SAOUHSC_01762	4397	4397	4397
